model,prompt_type,sample_count,avg_latency,min_latency,max_latency,avg_tokens,consistency_score,completeness_score
gemini,cot,1,3.4758098125457764,3.4758098125457764,3.4758098125457764,226.0,,1.0
gemini,few_shot_3,1,1.5657639503479004,1.5657639503479004,1.5657639503479004,61.0,,1.0
gemini,few_shot_5,1,2.1208231449127197,2.1208231449127197,2.1208231449127197,63.0,,1.0
gemini,few_shot_7,1,2.202613115310669,2.202613115310669,2.202613115310669,94.0,,1.0
gemini,react,1,3.2082948684692383,3.2082948684692383,3.2082948684692383,259.0,,1.0
gemini,self_consistency_3,1,5.603260517120361,5.603260517120361,5.603260517120361,484.0,0.3333333333333333,1.0
gemini,self_consistency_5,1,6.954784870147705,6.954784870147705,6.954784870147705,597.0,0.3333333333333333,1.0
gemini,self_consistency_7,1,6.886066198348999,6.886066198348999,6.886066198348999,623.0,0.3333333333333333,0.9
gemini,zero_shot,1,1.5123536586761475,1.5123536586761475,1.5123536586761475,73.0,,1.0
llama,cot,1,74.14850783348083,74.14850783348083,74.14850783348083,219.0,,1.0
llama,few_shot_3,1,89.73858261108398,89.73858261108398,89.73858261108398,267.0,,1.0
llama,few_shot_5,1,60.160566091537476,60.160566091537476,60.160566091537476,154.0,,1.0
llama,few_shot_7,1,21.04839849472046,21.04839849472046,21.04839849472046,52.0,,1.0
llama,react,1,80.02891683578491,80.02891683578491,80.02891683578491,237.0,,1.0
llama,self_consistency_3,1,127.20070576667786,127.20070576667786,127.20070576667786,332.0,0.3333333333333333,0.9
llama,self_consistency_5,1,127.09911584854126,127.09911584854126,127.09911584854126,341.0,0.3333333333333333,0.9
llama,self_consistency_7,1,127.14334034919739,127.14334034919739,127.14334034919739,380.0,0.3333333333333333,0.8
llama,zero_shot,1,1097.277902841568,1097.277902841568,1097.277902841568,102.0,,1.0
qwen,cot,1,81.79913878440857,81.79913878440857,81.79913878440857,208.0,,1.0
qwen,few_shot_3,1,92.80615782737732,92.80615782737732,92.80615782737732,208.0,,1.0
qwen,few_shot_5,1,81.46297693252563,81.46297693252563,81.46297693252563,183.0,,1.0
qwen,few_shot_7,1,92.79544353485107,92.79544353485107,92.79544353485107,216.0,,5.0
qwen,react,1,81.65576386451721,81.65576386451721,81.65576386451721,220.0,,1.0
qwen,self_consistency_3,1,91.69955635070801,91.69955635070801,91.69955635070801,197.0,0.3333333333333333,1.0
qwen,self_consistency_5,1,89.47696709632874,89.47696709632874,89.47696709632874,217.0,0.3333333333333333,0.9
qwen,self_consistency_7,1,85.97441482543945,85.97441482543945,85.97441482543945,193.0,0.3333333333333333,1.0
qwen,zero_shot,1,1176.9405598640442,1176.9405598640442,1176.9405598640442,202.0,,5.0
