,model_name,prompt_type,elapsed_time,response_length,has_error,tokens_per_second,response_quality_score,quality_index
0,gemini,cot,5.209619522094727,358.0,0.0,68.71902995634746,0.5619633130699088,0.7371779878419453
1,gemini,cot_self_consistency_3,7.177911758422852,549.0,0.0,76.48464044654509,0.63,0.378
2,gemini,few_shot_3,2.760512113571167,122.0,0.0,44.19469829537294,0.73,0.438
3,gemini,react,5.795029640197754,411.0,0.0,70.92284690816089,0.63,0.378
4,gemini,zero_shot,3.6126396656036377,186.0,0.0,51.48589873795818,0.63,0.378
5,llama,cot,80.99572229385376,261.0,0.0,3.2223924005898468,0.36996501485442657,0.621979008912656
6,llama,cot_self_consistency_3,141.97037959098816,371.0,0.0,2.6132211597154167,0.36000000000000004,0.21600000000000003
7,llama,few_shot_3,44.31212329864502,129.0,0.0,2.9111672020452373,0.1,0.06
8,llama,react,70.94364356994629,280.0,0.0,3.94679475017288,0.36000000000000004,0.21600000000000003
9,llama,zero_shot,187.11305236816406,917.0,0.0,4.9007805088642815,0.63,0.378
10,qwen,cot,306.1091511249542,868.0,0.0,2.8355898437210754,0.5540659173754556,0.6524395504252734
11,qwen,cot_self_consistency_3,353.3818025588989,856.0,0.0,2.422309224191952,0.63,0.378
12,qwen,few_shot_3,242.4119791984558,565.0,0.0,2.330742902509164,0.63,0.378
13,qwen,react,418.1638171672821,1274.0,0.0,3.0466528850590375,0.6966666666666667,0.418
14,qwen,zero_shot,183.92504620552063,813.0,0.0,4.4202788949773675,0.36000000000000004,0.21600000000000003
